GEOID,STATEFP,COUNTYFP,COUNTYNS,NAME,PolsbyW,Reock,ReockX
01001,01,001,00161526,Autauga,0.4415171448264819,0.576833627309365,0.5768336273093648
01003,01,003,00161527,Baldwin,0.3058937824269281,0.35174120105638174,0.4873114592174492
01005,01,005,00161528,Barbour,0.4010243026323874,0.45567466445055993,0.5085414017185004
01007,01,007,00161529,Bibb,0.5596604002695098,0.582882019893652,0.5828820198936521
01009,01,009,00161530,Blount,0.36147562195568217,0.45944277821296076,0.45944277821296087
01011,01,011,00161531,Bullock,0.4601452920446457,0.6027313548165337,0.6027313548165336
01013,01,013,00161532,Butler,0.7141456852642609,0.6493482708476667,0.6493482708476667
01015,01,015,00161533,Calhoun,0.4201619549215958,0.5099100731387224,0.5099100731387225
01017,01,017,00161534,Chambers,0.6392732992901435,0.5818230284727826,0.6928646894641434
01019,01,019,00161535,Cherokee,0.4930371193865924,0.4179960931953585,0.6203617462402664
01021,01,021,00161536,Chilton,0.5312117800192745,0.5557191518025699,0.55571915180257
01023,01,023,00161537,Choctaw,0.39315656956813505,0.4142318025233948,0.5022637425499981
01025,01,025,00161538,Clarke,0.27095066736142676,0.4399769921328415,0.43997699213284164
01027,01,027,00161539,Clay,0.475126492301761,0.46818860675920576,0.46818860675920565
01029,01,029,00161540,Cleburne,0.37522647338672793,0.35392833232665283,0.40688793145541335
01031,01,031,00161541,Coffee,0.7284515010815745,0.5963039578516461,0.596303957851646
01033,01,033,00161542,Colbert,0.44429947322716357,0.45659157351038515,0.474762117795901
01035,01,035,00161543,Conecuh,0.40066438187348224,0.4355418000723771,0.43554180007237686
01037,01,037,00161544,Coosa,0.7092632308233783,0.6261191884048543,0.6261191884048545
01039,01,039,00161545,Covington,0.5544077083882136,0.5806529202385137,0.6132328209023996
01041,01,041,00161546,Crenshaw,0.3281797741288173,0.37640078042817926,0.37640078042817937
01043,01,043,00161547,Cullman,0.4160433572808397,0.4746965064697195,0.4746965064697195
01045,01,045,00161548,Dale,0.6139088853912529,0.5234059130337556,0.5234059130337554
01047,01,047,00161549,Dallas,0.3218824870538508,0.4995710897124407,0.4995710897124407
01049,01,049,00161550,DeKalb,0.48397679187774395,0.32232163462806257,0.36738019840355496
01051,01,051,00161551,Elmore,0.40274237874123947,0.5636151097131317,0.5636151097131319
01053,01,053,00161552,Escambia,0.5215163629576279,0.3946348285042247,0.5644466161205296
01055,01,055,00161553,Etowah,0.40845494808080907,0.5451749718809616,0.5451749718809616
01057,01,057,00161554,Fayette,0.6016191957467091,0.5698122738540151,0.569812273854015
01059,01,059,00161555,Franklin,0.7212844810771731,0.5378554863019076,0.5541245504035909
01061,01,061,00161556,Geneva,0.595406886071946,0.41089364678872625,0.5691789403111208
01063,01,063,00161557,Greene,0.1643617787633325,0.3998387424453516,0.3998387424453516
01065,01,065,00161558,Hale,0.3360507888559869,0.49020174364577834,0.49020174364577834
01067,01,067,00161559,Henry,0.6308402436575707,0.5418324642711001,0.667581567980662
01069,01,069,00161560,Houston,0.4373705149638644,0.40871024517032684,0.616353642636122
01071,01,071,00161561,Jackson,0.5395361957018371,0.6205586232184905,0.7378683972677479
01073,01,073,00161562,Jefferson,0.43329806280265387,0.589245336943742,0.5892453369437415
01075,01,075,00161563,Lamar,0.6472710668812399,0.45397586212234414,0.6138958143662896
01077,01,077,00161564,Lauderdale,0.4555066878085881,0.3046247373063406,0.4913890397956646
01079,01,079,00161565,Lawrence,0.5990931326434723,0.5579291628700199,0.5579291628700198
01081,01,081,00161566,Lee,0.4954361988129279,0.46947468126030995,0.5116576292917392
01083,01,083,00161567,Limestone,0.6775837215235015,0.4937421173612345,0.5192949338986346
01085,01,085,00161568,Lowndes,0.4085077187839434,0.6479149595050955,0.6479149595050953
01087,01,087,00161569,Macon,0.4552148123533435,0.6082751661665203,0.6082751661665202
01089,01,089,00161570,Madison,0.4440866855227961,0.5727938176009354,0.6031274437347963
01091,01,091,00161572,Marengo,0.4474288956798224,0.5532430498792874,0.5532430498792873
01093,01,093,00161573,Marion,0.675265605559535,0.5526013471760488,0.5892100105759703
01095,01,095,00161574,Marshall,0.39816550957858265,0.5490744240284421,0.5490744240284421
01097,01,097,00161575,Mobile,0.5210008976691881,0.4097683505685547,0.5687050384994956
01099,01,099,00161576,Monroe,0.40819032223932666,0.34445546353119694,0.344455463531197
01101,01,101,00161577,Montgomery,0.36633757431995945,0.5891101040440736,0.5891101040440737
01103,01,103,00161578,Morgan,0.5948395089881726,0.4889631803401826,0.4889631803401825
01105,01,105,00161579,Perry,0.4722392006140985,0.41137330423142765,0.4113733042314279
01107,01,107,00161580,Pickens,0.5441642666445273,0.5067810485879501,0.6285411695945948
01109,01,109,00161581,Pike,0.42576396828250695,0.6375171900288565,0.6375171900288564
01111,01,111,00161582,Randolph,0.7223667392854267,0.5749272751350969,0.6996890224074558
01113,01,113,00161583,Russell,0.4643255741124007,0.6369285618961635,0.7557032820777714
01115,01,115,00164997,St. Clair,0.3381096696164383,0.42414786951473726,0.42414786951473726
01117,01,117,00161584,Shelby,0.4139804070102617,0.5333910052212633,0.533391005221263
01119,01,119,00161585,Sumter,0.30514021626302307,0.39456458627321683,0.5210953478705364
01121,01,121,00161586,Talladega,0.3315180383258544,0.3620039452893334,0.3620039452893334
01123,01,123,00161587,Tallapoosa,0.48486325288188137,0.43457074748777696,0.43457074748777696
01125,01,125,00161588,Tuscaloosa,0.5199312933680275,0.6775572849359555,0.6775572849359555
01127,01,127,00161589,Walker,0.4603563428764071,0.5563718845179261,0.5563718845179261
01129,01,129,00161590,Washington,0.48785318624786006,0.5871687598093441,0.7268445014293438
01131,01,131,00161591,Wilcox,0.41001461515897125,0.5158228051259981,0.5158228051259982
01133,01,133,00161592,Winston,0.7461322780970207,0.6083796316036728,0.6083796316036726
04001,04,001,00025441,Apache,0.347795654029755,0.21365841290808177,0.34281749975433506
04003,04,003,00025442,Cochise,0.7778297155513773,0.637047711375578,0.7783974397617979
04005,04,005,00025443,Coconino,0.36955545136092616,0.49013239466574593,0.4986987096378418
04007,04,007,00040471,Gila,0.21067727366387112,0.43789230382497635,0.4378923038249763
04009,04,009,00025444,Graham,0.4769272006270686,0.5269839255565426,0.5634154329830562
04011,04,011,00042807,Greenlee,0.4198156519752373,0.24059928865372587,0.39715460438029554
04012,04,012,00043540,La Paz,0.4202567911029555,0.41341561538823124,0.5284273351808412
04013,04,013,00037026,Maricopa,0.4510553684049458,0.519402429073828,0.519402429073828
04015,04,015,00025445,Mohave,0.3672367169721068,0.3736965442396611,0.4536474231880426
04017,04,017,00042808,Navajo,0.3468724641278142,0.19773747712120976,0.240366567767701
04019,04,019,00025446,Pima,0.582572337597663,0.4036185444614069,0.5328470406434043
04021,04,021,00025447,Pinal,0.4864447286562254,0.5398038104906723,0.5398038104906722
04023,04,023,00040472,Santa Cruz,0.6442031041102481,0.49739957768507465,0.6241009314623063
04025,04,025,00042809,Yavapai,0.4838201314191545,0.46950131205793916,0.46950131205793894
04027,04,027,00023901,Yuma,0.5691443112785644,0.5314047099613112,0.6420384801430218
05001,05,001,00063755,Arkansas,0.2936733380062776,0.4774735283841855,0.48328545733168565
05003,05,003,00063756,Ashley,0.5508028271513242,0.6142440277066441,0.7051053938105226
05005,05,005,00069895,Baxter,0.40896837019087745,0.4455584680360372,0.45744502460517084
05007,05,007,00069896,Benton,0.43533883508893834,0.5207228927156767,0.6823970128879303
05009,05,009,00069897,Boone,0.6739276511475949,0.589492875890917,0.6322020933659176
05011,05,011,00063757,Bradley,0.33400527541710273,0.4772301093551972,0.47723010935519733
05013,05,013,00063758,Calhoun,0.3075379194346676,0.514739678787078,0.514739678787078
05015,05,015,00066975,Carroll,0.4641261763368544,0.4965296609954665,0.556289358792865
05017,05,017,00069160,Chicot,0.2771940267173061,0.4685095492784008,0.6199330932190767
05019,05,019,00066845,Clark,0.3080397920147755,0.45052472984507613,0.45052472984507613
05021,05,021,00063759,Clay,0.40895492372793235,0.48964329050988226,0.6527109703496033
05023,05,023,00066983,Cleburne,0.7499863603002528,0.6054575647699614,0.6054575647699613
05025,05,025,00063760,Cleveland,0.5369018163544677,0.5509135729184939,0.5509135729184939
05027,05,027,00063761,Columbia,0.6900755270249471,0.6606752684165779,0.7302439614861146
05029,05,029,00066846,Conway,0.4275509544356817,0.4366788936701052,0.43667889367010515
05031,05,031,00066847,Craighead,0.5830228121563319,0.4519160645162758,0.4545019022557255
05033,05,033,00069161,Crawford,0.42026044603158935,0.4977321651856746,0.5397600863373647
05035,05,035,00069162,Crittenden,0.3251797794309246,0.37326987714931964,0.5302109575760665
05037,05,037,00066848,Cross,0.7469930068933068,0.6132468124878764,0.6132468124878765
05039,05,039,00066849,Dallas,0.36208884995096013,0.5379662511329577,0.5379662511329578
05041,05,041,00066850,Desha,0.16955974492194487,0.4219731855314067,0.6566809368367859
05043,05,043,00066851,Drew,0.7241377963251042,0.6449688475287398,0.6449688475287397
05045,05,045,00066852,Faulkner,0.44097342928836525,0.4879574314964362,0.48795743149643633
05047,05,047,00066853,Franklin,0.4054280858628227,0.3782116920570664,0.3782116920570664
05049,05,049,00066854,Fulton,0.6475100014093186,0.46886919038319197,0.6160497546229824
05051,05,051,00066855,Garland,0.611479398659709,0.612472263695288,0.612472263695288
05053,05,053,00066856,Grant,0.5517929887288673,0.6085583225104355,0.6085583225104356
05055,05,055,00066857,Greene,0.5116371946396661,0.48855969526415965,0.5320253575731954
05057,05,057,00066858,Hempstead,0.3640834756946154,0.5169919517747111,0.5169919517747112
05059,05,059,00066859,Hot Spring,0.4284516087751239,0.41523105059104176,0.41523105059104193
05061,05,061,00066872,Howard,0.31109214869664115,0.3085450988065195,0.31060565839551146
05063,05,063,00069163,Independence,0.49202371679811446,0.5871419615658001,0.5871419615658003
05065,05,065,00066860,Izard,0.541351497282901,0.6403751233937998,0.6403751233937997
05067,05,067,00066861,Jackson,0.3571437731139406,0.41317085000536047,0.4131708500053605
05069,05,069,00066862,Jefferson,0.3683885134326433,0.44023656990911936,0.4402365699091195
05071,05,071,00066863,Johnson,0.5057517863047427,0.5772474525413627,0.5772474525413627
05073,05,073,00066864,Lafayette,0.31052040539464904,0.45432655355436075,0.4809339634739184
05075,05,075,00066865,Lawrence,0.44779205732185384,0.5274533330983964,0.5274533330983964
05077,05,077,00066866,Lee,0.3262377066482083,0.5012390115339783,0.5423794878021267
05079,05,079,00066873,Lincoln,0.4569963141637937,0.5695484340159834,0.5695484340159835
05081,05,081,00066874,Little River,0.17627022181740537,0.3882694773410111,0.4377031300734886
05083,05,083,00082850,Logan,0.35768027667260993,0.3748459460619868,0.3748459460619867
05085,05,085,00069164,Lonoke,0.42182949556922766,0.43372209153351504,0.43372209153351504
05087,05,087,00069165,Madison,0.5764865824831428,0.550605753893495,0.550605753893495
05089,05,089,00069898,Marion,0.45888096270701806,0.5131931621021457,0.5394181586074229
05091,05,091,00069166,Miller,0.26252743388562955,0.4078269343072007,0.594923489568466
05093,05,093,00069899,Mississippi,0.3290265710200416,0.4681210083724908,0.7468730537580034
05095,05,095,00069167,Monroe,0.3227859405581296,0.31663821225361144,0.31663821225361133
