PP outliers,,,,,,Reock outliers,,,,
District,Score,,District,Score,,District,Score,,District,Score
108 IL 04,0.0005,,113 FL 05,0.0042,,113 NC 12,0.000102136,,118 IL 09,0.004810958
108 FL 22,0.0006,,108 PA 01,0.0049,,118 TX 35,0.000206702,,108 MD 06,0.005071699
108 MD 05,0.0007,,118 TX 04,0.0050,,108 FL 22,0.000273708,,108 MA 03,0.005314343
118 TX 33,0.0008,,108 PA 12,0.0051,,113 OH 09,0.000293116,,113 TX 15,0.005417992
108 IL 17,0.0013,,113 OH 11,0.0057,,113 FL 05,0.000399835,,118 CA 03,0.005486287
113 NC 12,0.0014,,108 GA 08,0.0059,,113 FL 22,0.000572035,,108 OH 06,0.00597622
108 GA 11,0.0015,,113 PA 01,0.0071,,113 TX 35,0.00058038,,108 CA 36,0.008797955
113 TX 33,0.0016,,108 MD 02,0.0072,,108 CA 23,0.000839228,,118 CA 50,0.008923514
108 GA 13,0.0016,,118 IL 05,0.0076,,108 NY 08,0.001217329,,113 MD 06,0.009034377
113 PA 07,0.0018,,108 OH 06,0.0080,,113 NY 10,0.001337759,,113 PA 01,0.009888525
108 NC 12,0.0021,,113 NC 04,0.0081,,118 TX 15,0.001479781,,,
113 OH 03,0.0028,,108 PA 18,0.0082,,108 NY 28,0.001755034,,,
113 IL 04,0.0031,,118 TX 18,0.0083,,118 IL 13,0.001845337,,,
113 NC 01,0.0034,,108 MD 01,0.0089,,108 NC 12,0.002067334,,,
113 TX 35,0.0034,,108 NC 03,0.0091,,118 CA 19,0.002874911,,,
113 OH 09,0.0034,,118 IL 17,0.0096,,108 NJ 13,0.003393295,,,
113 MD 03,0.0039,,108 NY 08,0.0096,,108 FL 03,0.003407971,,,
