YEAR,ST,Nd,Act_Edem,Sim_Edem_mean,Sim_Edem_median,Edem_Q025,Edem_Q975,Pless,Pmore,Act_Csplits,Csplits_Q025,Csplits_Q975,Act_MinPolsby,Med_MinPolsby,MinPolsby_Q025,MinPolsby_Q975,Act_MedPolsby,Med_MedPolsby,MedPolsby_Q025,MedPolsby_Q975,SESSN,Gerryd,Splitd,MinPolsbyd,MedPolsbyd
2020,AL,7,1,1.38713926,1.2857,0.837316131,2,0.1092,0.673,6,3.5547225,6,0.15214,0.17007,0.104046457,0.236480976,0.19939,0.24745,0.189189407,0.32434476,118,0,0,0,0
2020,AR,4,0,0.06374458,0,0,0.7143,0,0.1552,2,1,3,0.1214,0.16076,0.100565647,0.237893241,0.26459,0.23387,0.165678222,0.30849255,118,0,0,0,0
2020,AZ,9,3.25,3.56265,3.5,2.825114688,4.262645625,0.1302,0.7814,7,4,8,0.1747,0.14505,0.103286146,0.215640573,0.26728,0.23977,0.18683791,0.306653494,118,0,0,0,0
2020,CA,52,44.5,45.0347,45,43.5230125,46,0.1082,0.7336,27,19.2082675,24,0.08373,0.07248,0.050776208,0.094569633,0.19509,0.2072025,0.186273608,0.223705262,118,0,1,0,0
2020,CO,8,4.714,4.3172354,4.143,3.429,5.46700772,0.7246,0.183,9,5,8.9995025,0.09959,0.10122,0.093893851,0.212199803,0.270935,0.30804,0.231037588,0.390518075,118,0,1,0,0
2020,CT,5,4.429,4.4163072,4.429,4.143,4.714,0.372,0.2804,5,3,5,0.14153,0.20942,0.128070988,0.302707816,0.39044,0.3069,0.217373364,0.388780222,118,0,0,0,1
2020,FL,28,9.5,12.3559878,12.333,10.73014627,13.5,0,1,17,15.001495,20.9737175,0.16107,0.09529,0.039030327,0.127217247,0.363785,0.23329,0.201783966,0.280256147,118,1,0,1,1
2020,GA,14,5,4.7682174,4.714,3.854971903,6.07239518,0.6886,0.2398,15,7,13,0.12473,0.09787,0.044460967,0.16924654,0.264095,0.2192025,0.172630563,0.266238306,118,0,1,0,0
2020,IA,4,0.5,1.29927922,1.1667,1,1.6667,0,0.9996,0,0,0,0.2753,0.27495,0.16938018,0.3177,0.3183,0.3311,0.26667488,0.355495309,118,1,0,0,0
2020,ID,2,0,0,0,0,0,0,0,1,0.0909675,1,0.1837,0.22765,0.157783776,0.240373582,0.24925,0.26835,0.198079651,0.309255479,118,0,0,0,0
2020,IL,17,14.29,11.853018,11.86,11.29,12.4249978,1,0,32,7,11,0.04703,0.10623,0.06914594,0.150872355,0.11527,0.24556,0.197375623,0.297532628,118,1,1,1,1
2020,IN,9,2,1.9934116,2,1.555829383,2.48147828,0.4772,0.317,8,4.965385,8,0.21129,0.174985,0.110484167,0.248545503,0.50294,0.31709,0.238249818,0.393936096,118,0,0,0,1
2020,KS,4,0.5714,0.8090693,0.8571,0.7143,1.142857487,0,0.9956,4,1.005865,3,0.1497,0.2192,0.16528705,0.265786938,0.3926,0.36415,0.282524069,0.442369997,118,1,1,1,0
2020,KY,6,1.25,1.13635,1.25,1,1.251160625,0.4724,0.0198,6,3,5,0.09125,0.145285,0.093745925,0.212444712,0.23787,0.221005,0.1611231,0.280590926,118,0,1,1,0
2020,LA,6,1,1.0018,1,1,1,6.00E-04,0.0026,15,9.5962675,19,0.05817,0.10224,0.069510391,0.149845923,0.140075,0.190625,0.146987487,0.239385051,118,0,0,1,1
2020,MA,9,7.667,7.600701,7.667,7.5,7.667,0.397,0,9,5.9774975,7,0.08884,0.14751,0.097029675,0.195232501,0.21404,0.2491,0.194147245,0.3188218,118,0,1,1,0
2020,MD,8,6.333,5.5646672,5.5,4.833,6.447042213,0.8746,0.0262,6,3.3248575,6,0.11874,0.11955,0.090252669,0.137180702,0.26632,0.26222,0.201321668,0.329236241,118,0,0,0,0
2020,ME,2,0.8,0.95624,1,0.8,1,0,0.7792,1,0,1,0.04689,0.08812,0.048589224,0.091949962,0.076845,0.11866,0.081747634,0.150039808,118,0,0,1,1
2020,MI,13,7.143,6.3339504,6.286,5.42889847,7.285017948,0.9416,0.031,14,7,11,0.06074,0.059185,0.052365218,0.071003933,0.34815,0.2987,0.232653144,0.367436941,118,0,1,0,0
2020,MN,8,4.429,4.4555138,4.429,3.85164036,5.14730001,0.3866,0.4854,9,5,9,0.17804,0.1802,0.123185703,0.240887587,0.289795,0.2643,0.215119666,0.335889836,118,0,0,0,0
2020,MO,8,2,2.01698,2.1,1.6,2.200112,0.2574,0.5572,9,3.9991825,7,0.13795,0.19333,0.120068123,0.278520389,0.29522,0.30591,0.236416965,0.387239769,118,0,1,0,0
2020,MS,4,1,0.9995,1,1,1,0.0012,0,4,1,3,0.12873,0.12933,0.088239482,0.186174658,0.313855,0.27155,0.191034737,0.358479908,118,0,1,0,0
2020,MT,2,0.2,0.28978,0.3,0.2,0.4,0,0.5814,1,0,2,0.2057,0.22325,0.142449511,0.332378326,0.3622,0.298675,0.187091231,0.430729742,118,0,0,0,0
2020,NC,14,6.9,6.28074,6.2,5.199215,7.39952175,0.8472,0.1304,12,8.1059025,13,0.19926,0.16511,0.112803749,0.218242432,0.32752,0.279365,0.240121697,0.323085929,118,0,0,0,1
2020,NE,3,0.5,0.50996694,0.5,0.1667,0.8333,0.1792,0.2218,2,0,2,0.2281,0.31195,0.202718602,0.3947,0.3023,0.3626,0.268725714,0.424497214,118,0,0,0,0
2020,NH,2,1,0.93981052,1,0.8571,1,0.4214,2.00E-04,5,1,1,0.1572,0.2143,0.154253763,0.265526399,0.15975,0.3002,0.213450788,0.365622082,118,0,1,0,1
2020,NJ,12,9.5,8.86685,8.75,8.18867375,9.5,0.942,0.0142,14,12,15,0.10945,0.13614,0.093096475,0.190889734,0.21742,0.24267,0.194871998,0.295835043,118,0,0,0,0
2020,NM,3,3,2.28435,2.25,2.223101563,2.81261125,0.9882,0,9,0,2,0.2693,0.2976,0.179183291,0.420662557,0.3018,0.3564,0.240170186,0.451353858,118,1,1,0,0
2020,NV,4,3,2.649025,2.857,2,3,0.6634,0,2,1,2,0.23011,0.1776,0.083056171,0.33533819,0.457565,0.331535,0.22180513,0.438055866,118,0,0,0,1
2020,NY,26,22,21.868004,21.83,21.3270552,22.65201103,0.5886,0.2204,15,13,16,0.20614,0.10039,0.066978328,0.137567189,0.373785,0.24718,0.209692569,0.291367575,118,0,0,1,1
2020,OH,15,4.857,5.748795,5.857,4.9999857,6.286,0.007,0.9824,14,6,11,0.132583,0.059975,0.009750134,0.161869464,0.27226,0.271573,0.231695444,0.329232405,118,1,1,0,0
2020,OK,5,0,0.18959404,0.1667,0,0.5,0,0.965,6,2,5,0.22879,0.17928,0.115271665,0.241448322,0.27297,0.26396,0.191441012,0.359001085,118,0,1,0,0
2020,OR,6,4.2,3.7979,3.8,3.29163975,4.20010075,0.919,0.0186,6,2,5,0.19417,0.1929,0.126392116,0.275629908,0.342865,0.3140925,0.221797923,0.416367158,118,0,1,0,0
2020,PA,17,9.286,8.0920824,8.143,7.493186485,8.7070359,0.9996,2.00E-04,14,10,14.971545,0.17373,0.14229,0.102044499,0.194129834,0.30417,0.261745,0.217857128,0.310341872,118,1,0,0,0
2020,RI,2,2,1.9985328,2,2,2,0.0064,0,1,1,3.0008025,0.258,0.2879,0.159818899,0.3703,0.28025,0.34265,0.187011491,0.400238349,118,0,0,0,0
2020,SC,7,1,1.70992846,1.7143,1.191542122,2.435096686,4.00E-04,0.9976,10,3,6,0.07635,0.15875,0.103856372,0.21581659,0.22903,0.24522,0.187418399,0.303814617,118,1,1,1,0
2020,TN,9,1,1.8542618,2,1,2,0,0.9198,8,4.9600025,8,0.10548,0.15811,0.097905385,0.211146245,0.19264,0.23767,0.191927686,0.285403273,118,0,0,0,0
2020,TX,38,13.67,17.146162,17,15.33568045,18.8283264,0,0.9998,30,17,23.70922,0.03951,0.09984,0.061659893,0.131973679,0.1635,0.235995,0.210486154,0.26480787,118,1,1,1,1
2020,UT,4,0,0.39745,0.375,0,0.875,0,0.7412,5,1,4,0.26204,0.17376,0.093115633,0.301067972,0.332775,0.3250275,0.215505351,0.419822142,118,0,1,0,0
2020,VA,11,6.75,7.2404,7.25,6.05192,8.009473125,0.1034,0.793,9,6,11,0.18824,0.13024,0.09125929,0.175289258,0.29504,0.22087,0.171254371,0.265297113,118,0,0,1,1
2020,WA,10,6,6.24598,6.3,5.8048385,6.50323925,0.0584,0.8562,7,5.002285,8.9999,0.13153,0.16195,0.106559173,0.222405007,0.285375,0.26805,0.219202844,0.319431337,118,0,0,0,0
2020,WI,8,2.857,2.7970802,2.714,2.30335448,3.645107248,0.6124,0.2554,12,4.982155,7,0.17486,0.20611,0.141256532,0.281946629,0.30174,0.325035,0.254357338,0.41451345,118,0,1,0,0
2020,WV,2,0,0,0,0,0,0,0,0,0,0,0.13358,0.13633,0.099338347,0.18018,0.198145,0.20224,0.133333657,0.251276495,118,0,0,0,0
