"","Accuracy","Precison","TPR","FPR","Threshold","Ntrue","Nwrong","Accurate","FalsePositive"
"1",0,0,0,0,0,0,0,NA,NA
"2",0.0588235294117647,1,0.277777777777778,0,0.001,5,0," 118TX 113FL 113NC 113OH 113TX",NA
"3",0.0705882352941176,0.857142857142857,0.333333333333333,0.0149253731343284,0.002,6,1," 118IL 118TX 113FL 113NC 113OH 113TX"," 113NY"
"4",0.0705882352941176,0.75,0.333333333333333,0.0298507462686567,0.003,6,2," 118IL 118TX 113FL 113NC 113OH 113TX"," 118CA 113NY"
"5",0.0705882352941176,0.75,0.333333333333333,0.0298507462686567,0.004,6,2," 118IL 118TX 113FL 113NC 113OH 113TX"," 118CA 113NY"
"6",0.0705882352941176,0.75,0.333333333333333,0.0298507462686567,0.005,6,2," 118IL 118TX 113FL 113NC 113OH 113TX"," 118CA 113NY"
"7",0.0705882352941176,0.75,0.333333333333333,0.0298507462686567,0.006,6,2," 118IL 118TX 113FL 113NC 113OH 113TX"," 118CA 113NY"
"8",0.0705882352941176,0.75,0.333333333333333,0.0298507462686567,0.007,6,2," 118IL 118TX 113FL 113NC 113OH 113TX"," 118CA 113NY"
"9",0.0705882352941176,0.75,0.333333333333333,0.0298507462686567,0.008,6,2," 118IL 118TX 113FL 113NC 113OH 113TX"," 118CA 113NY"
"10",0.0705882352941176,0.75,0.333333333333333,0.0298507462686567,0.009,6,2," 118IL 118TX 113FL 113NC 113OH 113TX"," 118CA 113NY"
"11",0.0941176470588235,0.8,0.444444444444444,0.0298507462686567,0.01,8,2," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113TX"," 118CA 113NY"
"12",0.0941176470588235,0.8,0.444444444444444,0.0298507462686567,0.011,8,2," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113TX"," 118CA 113NY"
"13",0.0941176470588235,0.8,0.444444444444444,0.0298507462686567,0.012,8,2," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113TX"," 118CA 113NY"
"14",0.0941176470588235,0.8,0.444444444444444,0.0298507462686567,0.013,8,2," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113TX"," 118CA 113NY"
"15",0.0941176470588235,0.8,0.444444444444444,0.0298507462686567,0.014,8,2," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113TX"," 118CA 113NY"
"16",0.105882352941176,0.75,0.5,0.0447761194029851,0.015,9,3," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113NY"
"17",0.105882352941176,0.692307692307692,0.5,0.0597014925373134,0.016,9,4," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113NY"
"18",0.105882352941176,0.692307692307692,0.5,0.0597014925373134,0.017,9,4," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113NY"
"19",0.105882352941176,0.692307692307692,0.5,0.0597014925373134,0.018,9,4," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113NY"
"20",0.105882352941176,0.692307692307692,0.5,0.0597014925373134,0.019,9,4," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113NY"
"21",0.105882352941176,0.692307692307692,0.5,0.0597014925373134,0.02,9,4," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113NY"
"22",0.105882352941176,0.692307692307692,0.5,0.0597014925373134,0.021,9,4," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113NY"
"23",0.105882352941176,0.692307692307692,0.5,0.0597014925373134,0.022,9,4," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113NY"
"24",0.105882352941176,0.692307692307692,0.5,0.0597014925373134,0.023,9,4," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113NY"
"25",0.105882352941176,0.642857142857143,0.5,0.0746268656716418,0.024,9,5," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113CO 113NY"
"26",0.105882352941176,0.642857142857143,0.5,0.0746268656716418,0.025,9,5," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113CO 113NY"
"27",0.105882352941176,0.6,0.5,0.0895522388059701,0.026,9,6," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113CO 113MI 113NY"
"28",0.105882352941176,0.5625,0.5,0.104477611940299,0.027,9,7," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113CO 113IL 113MI 113NY"
"29",0.105882352941176,0.5625,0.5,0.104477611940299,0.028,9,7," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118NY 113CA 113CO 113IL 113MI 113NY"
"30",0.105882352941176,0.45,0.5,0.164179104477612,0.029,9,11," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118ID 118MA 118NY 113CA 113CO 113ID 113IL 113MI 113NY 113WV"
"31",0.105882352941176,0.409090909090909,0.5,0.194029850746269,0.03,9,13," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118MA 118NY 113CA 113CO 113ID 113IL 113MI 113NY 113VA 113WV"
"32",0.105882352941176,0.409090909090909,0.5,0.194029850746269,0.031,9,13," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118MA 118NY 113CA 113CO 113ID 113IL 113MI 113NY 113VA 113WV"
"33",0.105882352941176,0.409090909090909,0.5,0.194029850746269,0.032,9,13," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118MA 118NY 113CA 113CO 113ID 113IL 113MI 113NY 113VA 113WV"
"34",0.105882352941176,0.375,0.5,0.223880597014925,0.033,9,15," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118LA 118MA 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"35",0.105882352941176,0.375,0.5,0.223880597014925,0.034,9,15," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118LA 118MA 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"36",0.105882352941176,0.375,0.5,0.223880597014925,0.035,9,15," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118LA 118MA 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"37",0.105882352941176,0.375,0.5,0.223880597014925,0.036,9,15," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118LA 118MA 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"38",0.105882352941176,0.375,0.5,0.223880597014925,0.037,9,15," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118LA 118MA 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"39",0.105882352941176,0.375,0.5,0.223880597014925,0.038,9,15," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118LA 118MA 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"40",0.105882352941176,0.36,0.5,0.238805970149254,0.039,9,16," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118KY 118LA 118MA 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"41",0.105882352941176,0.346153846153846,0.5,0.253731343283582,0.04,9,17," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118ID 118KY 118LA 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"42",0.105882352941176,0.333333333333333,0.5,0.26865671641791,0.041,9,18," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"43",0.105882352941176,0.321428571428571,0.5,0.283582089552239,0.042,9,19," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"44",0.105882352941176,0.321428571428571,0.5,0.283582089552239,0.043,9,19," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MI 113NY 113VA 113WV"
"45",0.105882352941176,0.310344827586207,0.5,0.298507462686567,0.044,9,20," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NY 113VA 113WV"
"46",0.105882352941176,0.310344827586207,0.5,0.298507462686567,0.045,9,20," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NY 113VA 113WV"
"47",0.105882352941176,0.310344827586207,0.5,0.298507462686567,0.046,9,20," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NY 113VA 113WV"
"48",0.105882352941176,0.310344827586207,0.5,0.298507462686567,0.047,9,20," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NY 113VA 113WV"
"49",0.105882352941176,0.310344827586207,0.5,0.298507462686567,0.048,9,20," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NY 113VA 113WV"
"50",0.105882352941176,0.310344827586207,0.5,0.298507462686567,0.049,9,20," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NY 113VA 113WV"
"51",0.105882352941176,0.310344827586207,0.5,0.298507462686567,0.05,9,20," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NY 113VA 113WV"
"52",0.105882352941176,0.310344827586207,0.5,0.298507462686567,0.051,9,20," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NY 113VA 113WV"
"53",0.105882352941176,0.310344827586207,0.5,0.298507462686567,0.052,9,20," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NY 113VA 113WV"
"54",0.105882352941176,0.3,0.5,0.313432835820896,0.053,9,21," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NH 113NY 113VA 113WV"
"55",0.105882352941176,0.3,0.5,0.313432835820896,0.054,9,21," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NH 113NY 113VA 113WV"
"56",0.105882352941176,0.290322580645161,0.5,0.328358208955224,0.055,9,22," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NH 113NY 113VA 113WV 113WI"
"57",0.105882352941176,0.290322580645161,0.5,0.328358208955224,0.056,9,22," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NH 113NY 113VA 113WV 113WI"
"58",0.105882352941176,0.28125,0.5,0.343283582089552,0.057,9,23," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NH 113NY 113VA 113WA 113WV 113WI"
"59",0.105882352941176,0.28125,0.5,0.343283582089552,0.058,9,23," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NH 113NY 113VA 113WA 113WV 113WI"
"60",0.105882352941176,0.28125,0.5,0.343283582089552,0.059,9,23," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NH 113NY 113VA 113WA 113WV 113WI"
"61",0.105882352941176,0.28125,0.5,0.343283582089552,0.06,9,23," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NH 113NY 113VA 113WA 113WV 113WI"
"62",0.105882352941176,0.272727272727273,0.5,0.358208955223881,0.061,9,24," 118IL 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118AZ 118CA 118CO 118ID 118KY 118LA 118MD 118MA 118MI 118NJ 118NY 113CA 113CO 113ID 113IL 113LA 113MA 113MI 113NH 113NY 113VA 113WA 113WV 113WI"
