"SESSN","ST","Pstate","Min_relcompact","Metric"
118,"IL",6.86391464888025e-07,0.00764792885572494,"PP"
118,"TX",3.41686096372307e-06,0.000751953980528493,"PP"
113,"IL",2.23692307677048e-07,0.00311055428861239,"PP"
113,"MD",3.36140438497168e-05,0.00386965709604626,"PP"
113,"NC",4.6204938801031e-05,0.00137616595219588,"PP"
113,"OH",1.22857475527427e-05,0.00282143403858468,"PP"
113,"PA",7.32319025997796e-06,0.00178842986839348,"PP"
113,"TX",8.08846529309903e-07,0.00160188272495147,"PP"
108,"GA",0.000276888997300939,0.0015332515071734,"PP"
108,"IL",0.00219705460363862,0.000514979215813398,"PP"
108,"MD",0.00302702233043883,0.000746170926064747,"PP"
108,"NC",0.0022529799398916,0.00211073559675054,"PP"
108,"TN",0.00720712474815799,0.0565577418392277,"PP"
118,"IL",0.00624018307394469,0.00184533745202536,"RK"
118,"NH",0.00653393898521626,0.0658247598595306,"RK"
113,"IL",3.43143433743087e-05,0.0260877538569753,"RK"
113,"MD",0.000700689475787164,0.00903437737877142,"RK"
113,"VA",0.000145996760512856,0.0299186816628544,"RK"
108,"CA",0.00013900808468692,0.000839227665765745,"RK"
108,"FL",4.68531285162666e-05,0.000273707842983437,"RK"
108,"MD",0.00724977240769809,0.00507169933419205,"RK"
